City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
184,Goundam,ML,2021-11-06 17:18:39,16.4145,-3.6708,99.34,12,94,6.02,overcast clouds
185,Saint-Augustin,CA,2021-11-06 17:18:40,51.226,-58.6502,41.27,45,24,12.64,few clouds
186,Sur,OM,2021-11-06 17:18:40,22.5667,59.5289,77.22,54,0,4.47,clear sky
187,Enumclaw,US,2021-11-06 17:18:40,47.2043,-121.9915,43.99,95,100,6.2,overcast clouds
188,Karratha,AU,2021-11-06 17:18:41,-20.7377,116.8463,77.38,67,49,14.03,scattered clouds
189,East London,ZA,2021-11-06 17:18:41,-33.0153,27.9116,65.16,74,100,7.25,overcast clouds
190,Kodinsk,RU,2021-11-06 17:18:42,58.6881,99.1844,24.12,94,100,8.57,light snow
191,Saskylakh,RU,2021-11-06 17:18:42,71.9167,114.0833,7.54,90,100,15.3,overcast clouds
192,Geraldton,AU,2021-11-06 17:18:42,-28.7667,114.6,59.41,77,23,10.36,few clouds
193,Goderich,CA,2021-11-06 17:18:15,43.7501,-81.7165,51.91,61,98,13.8,overcast clouds
194,La Asuncion,VE,2021-11-06 17:18:43,11.0333,-63.8628,87.53,70,89,14.97,overcast clouds
195,Sanmenxia,CN,2021-11-06 17:18:44,34.7747,111.1814,33.75,81,100,24.67,light snow
196,Kununurra,AU,2021-11-06 17:14:07,-15.7667,128.7333,75.18,94,75,10.36,thunderstorm
197,Dudinka,RU,2021-11-06 17:18:44,69.4058,86.1778,15.22,93,100,24.54,light snow
198,Qingdao,CN,2021-11-06 17:15:33,36.0986,120.3719,58.6,94,20,2.24,mist
199,Nanortalik,GL,2021-11-06 17:18:45,60.1432,-45.2371,33.94,82,100,9.15,overcast clouds
200,Quelimane,MZ,2021-11-06 17:18:45,-17.8786,36.8883,78.75,78,0,6.91,clear sky
201,Pemangkat,ID,2021-11-06 17:18:46,1.1667,108.9667,80.47,79,100,1.81,light rain
202,Lufilufi,WS,2021-11-06 17:18:46,-13.8745,-171.5986,71.38,78,69,13.62,broken clouds
203,Tiznit,MA,2021-11-06 17:18:46,29.5833,-9.5,66.24,46,0,7.0,clear sky
204,Taltal,CL,2021-11-06 17:18:47,-25.4,-70.4833,66.67,63,7,9.62,clear sky
205,Ust-Maya,RU,2021-11-06 17:18:47,60.4167,134.5333,-1.75,99,95,0.13,overcast clouds
206,Eston,CA,2021-11-06 17:18:48,51.1501,-108.7514,40.93,60,10,13.31,clear sky
207,Ketchikan,US,2021-11-06 17:18:48,55.3422,-131.6461,39.67,100,90,3.44,overcast clouds
208,Itoman,JP,2021-11-06 17:18:48,26.1247,127.6694,75.97,85,75,17.27,broken clouds
209,Nador,MA,2021-11-06 17:18:49,35.174,-2.9287,59.07,54,0,1.14,clear sky
210,Coquimbo,CL,2021-11-06 17:16:24,-29.9533,-71.3436,61.84,65,1,12.03,clear sky
211,Huangmei,CN,2021-11-06 17:18:49,30.1924,116.025,64.62,83,67,6.49,broken clouds
212,Pahalgam,IN,2021-11-06 17:18:50,34.0333,75.3333,29.48,60,8,11.05,clear sky
213,Vanderhoof,CA,2021-11-06 17:18:50,54.0166,-124.0198,32.29,78,98,1.14,overcast clouds
214,Pimentel,PE,2021-11-06 17:18:51,-6.8367,-79.9342,75.49,57,0,17.27,clear sky
215,Lata,PT,2021-11-06 17:18:51,40.1629,-8.3327,59.07,49,0,6.55,clear sky
216,Half Moon Bay,US,2021-11-06 17:18:51,37.4636,-122.4286,60.91,87,20,3.44,few clouds
217,Cidreira,BR,2021-11-06 17:18:52,-30.1811,-50.2056,70.61,82,86,12.03,overcast clouds
218,Lebu,CL,2021-11-06 17:18:52,-37.6167,-73.65,58.39,76,44,12.06,scattered clouds
219,Bar Harbor,US,2021-11-06 17:17:00,44.3876,-68.2039,51.66,45,1,5.99,clear sky
220,Puri,IN,2021-11-06 17:18:53,19.8,85.85,70.32,61,9,6.38,clear sky
221,Moose Factory,CA,2021-11-06 17:18:53,51.2585,-80.6094,51.8,62,1,18.41,clear sky
222,Eureka,US,2021-11-06 17:14:18,40.8021,-124.1637,53.2,96,100,1.99,overcast clouds
223,Mount Isa,AU,2021-11-06 17:18:54,-20.7333,139.5,76.77,65,82,4.61,light rain
224,La Paz,BO,2021-11-06 17:14:41,-16.5,-68.15,59.61,45,83,6.85,broken clouds
225,Nanakuli,US,2021-11-06 17:18:54,21.3906,-158.1547,76.98,75,1,5.75,clear sky
226,Bossangoa,CF,2021-11-06 17:18:55,6.4926,17.4552,80.92,70,64,2.39,broken clouds
227,Pevek,RU,2021-11-06 17:19:55,69.7008,170.3133,-5.03,89,90,7.65,overcast clouds
228,Mastic Beach,US,2021-11-06 17:19:56,40.7668,-72.8521,55.45,47,1,3.0,clear sky
229,Boguchany,RU,2021-11-06 17:19:56,58.3814,97.4531,24.42,92,100,9.35,light snow
230,Cherskiy,RU,2021-11-06 17:19:57,68.75,161.3,1.44,83,72,10.56,broken clouds
231,Morondava,MG,2021-11-06 17:19:57,-20.2833,44.2833,78.01,70,1,11.68,clear sky
232,Opuwo,NA,2021-11-06 17:19:57,-18.0607,13.84,89.96,16,100,11.32,overcast clouds
233,Souillac,MU,2021-11-06 17:19:58,-20.5167,57.5167,76.35,83,40,11.5,scattered clouds
234,Lompoc,US,2021-11-06 17:16:35,34.6391,-120.4579,62.1,86,90,0.0,mist
235,Saint Anthony,US,2021-11-06 17:15:50,45.0205,-93.218,61.34,55,1,1.99,clear sky
236,Wanxian,CN,2021-11-06 17:19:59,30.8039,108.3897,60.21,95,100,8.39,light rain
